Город;year;fact;Модель;Нижняя граница;Верхняя граница
Белокуриха;2079;NA;22100;21700;22400
Белокуриха;2080;NA;22200;21800;22600
Белокуриха;2081;NA;22300;21900;22700
Белокуриха;2082;NA;22400;22100;22800
Белокуриха;2083;NA;22500;22200;22900
Белокуриха;2084;NA;22600;22300;23000
Белокуриха;2085;NA;22800;22400;23100
Белокуриха;2086;NA;22900;22500;23300
Белокуриха;2087;NA;23000;22600;23400
Белокуриха;2088;NA;23100;22700;23500
Белокуриха;2089;NA;23200;22800;23600
Белокуриха;2090;NA;23300;22900;23700
Белокуриха;2091;NA;23400;23000;23800
Белокуриха;2092;NA;23500;23100;23900
Белокуриха;2093;NA;23600;23200;24000
Белокуриха;2094;NA;23700;23300;24100
Белокуриха;2095;NA;23800;23400;24200
Белокуриха;2096;NA;23900;23500;24300
Белокуриха;2097;NA;24000;23600;24400
Белокуриха;2098;NA;24100;23700;24400
Белокуриха;2099;NA;24100;23800;24500
Белокуриха;2100;NA;24200;23800;24600
Белокуриха;2101;NA;24300;23900;24700
Белокуриха;2102;NA;24400;24000;24800
Белокуриха;2103;NA;24500;24100;24900
Белокуриха;2104;NA;24500;24200;24900
Белокуриха;2105;NA;24600;24200;25000
Белокуриха;2106;NA;24700;24300;25100
Белокуриха;2107;NA;24800;24400;25200
Белокуриха;2108;NA;24800;24400;25200
Белокуриха;2109;NA;24900;24500;25300
Белокуриха;2110;NA;25000;24600;25400
Белокуриха;2111;NA;25000;24600;25400
Белокуриха;2112;NA;25100;24700;25500
Белокуриха;2113;NA;25100;24700;25500
Белокуриха;2114;NA;25200;24800;25600
Белокуриха;2115;NA;25300;24900;25700
Белокуриха;2116;NA;25300;24900;25700
Белокуриха;2117;NA;25400;25000;25800
Белокуриха;2118;NA;25400;25000;25800
Белокуриха;2119;NA;25500;25100;25900
Белокуриха;2120;NA;25500;25100;25900
Новоалтайск;2000;NA;69800;68900;70800
Новоалтайск;2001;NA;70100;69100;71000
Новоалтайск;2002;NA;70400;69500;71300
Новоалтайск;2003;NA;70700;69800;71600
Новоалтайск;2004;NA;70900;70000;71800
Новоалтайск;2005;NA;71000;70100;71900
Новоалтайск;2006;NA;70900;70000;71800
Новоалтайск;2007;NA;70800;70000;71700
Новоалтайск;2008;70454;70800;69900;71700
Новоалтайск;2009;70454;70700;69900;71600
Новоалтайск;2010;70441;70800;69900;71600
Новоалтайск;2011;70395;70900;70000;71700
Новоалтайск;2012;70337;71000;70200;71900
Новоалтайск;2013;70672;71200;70400;72100
Новоалтайск;2014;71648;71500;70700;72300
Новоалтайск;2015;72721;71800;71000;72700
Новоалтайск;2016;73423;72200;71300;73000
Новоалтайск;2017;73575;72600;71800;73400
Новоалтайск;2018;73604;73000;72200;73800
Новоалтайск;2019;74163;73400;72600;74200
Новоалтайск;2020;74163;73900;73100;74700
Новоалтайск;2021;NA;74300;73500;75100
Новоалтайск;2022;NA;74800;73900;75600
Новоалтайск;2023;NA;75200;74400;76000
Новоалтайск;2024;NA;75600;74800;76500
Новоалтайск;2025;NA;76000;75200;76900
Новоалтайск;2026;NA;76400;75600;77300
Новоалтайск;2027;NA;76800;76000;77700
Новоалтайск;2028;NA;77200;76300;78100
Новоалтайск;2029;NA;77600;76700;78400
Новоалтайск;2030;NA;77900;77000;78800
Новоалтайск;2031;NA;78200;77400;79100
Новоалтайск;2032;NA;78600;77700;79500
Новоалтайск;2033;NA;78900;78000;79800
Новоалтайск;2034;NA;79200;78300;80100
Новоалтайск;2035;NA;79500;78600;80400
Новоалтайск;2036;NA;79800;78900;80800
Новоалтайск;2037;NA;80200;79200;81100
Новоалтайск;2038;NA;80500;79500;81400
Новоалтайск;2039;NA;80800;79800;81700
Новоалтайск;2040;NA;81000;80100;82000
Новоалтайск;2041;NA;81300;80400;82300
Новоалтайск;2042;NA;81600;80700;82600
Новоалтайск;2043;NA;81900;81000;82900
Новоалтайск;2044;NA;82200;81300;83200
Новоалтайск;2045;NA;82500;81600;83500
Новоалтайск;2046;NA;82800;81800;83800
Новоалтайск;2047;NA;83100;82100;84100
Новоалтайск;2048;NA;83400;82400;84400
Новоалтайск;2049;NA;83700;82700;84700
Новоалтайск;2050;NA;84000;83000;85000
Новоалтайск;2051;NA;84300;83300;85300
Новоалтайск;2052;NA;84500;83600;85600
Новоалтайск;2053;NA;84800;83800;85900
Новоалтайск;2054;NA;85100;84100;86200
Новоалтайск;2055;NA;85400;84400;86500
Новоалтайск;2056;NA;85700;84700;86800
Новоалтайск;2057;NA;86000;85000;87100
Новоалтайск;2058;NA;86300;85300;87400
Новоалтайск;2059;NA;86600;85600;87700
Новоалтайск;2060;NA;86900;85900;88000
Новоалтайск;2061;NA;87200;86200;88300
Новоалтайск;2062;NA;87500;86500;88600
Новоалтайск;2063;NA;87800;86800;88900
Новоалтайск;2064;NA;88100;87100;89200
Новоалтайск;2065;NA;88400;87400;89500
Новоалтайск;2066;NA;88700;87700;89800
Новоалтайск;2067;NA;89000;87900;90100
Новоалтайск;2068;NA;89300;88200;90400
Новоалтайск;2069;NA;89600;88500;90700
Новоалтайск;2070;NA;89900;88800;91000
Новоалтайск;2071;NA;90200;89100;91300
Новоалтайск;2072;NA;90500;89300;91600
Новоалтайск;2073;NA;90700;89600;91900
Новоалтайск;2074;NA;91000;89900;92200
Новоалтайск;2075;NA;91300;90200;92400
Новоалтайск;2076;NA;91600;90400;92700
Новоалтайск;2077;NA;91800;90700;93000
Новоалтайск;2078;NA;92100;90900;93200
Новоалтайск;2079;NA;92300;91200;93500
Новоалтайск;2080;NA;92600;91400;93800
Новоалтайск;2081;NA;92800;91700;94000
Новоалтайск;2082;NA;93100;91900;94300
Новоалтайск;2083;NA;93300;92100;94500
Новоалтайск;2084;NA;93500;92300;94700
Новоалтайск;2085;NA;93800;92600;95000
Новоалтайск;2086;NA;94000;92800;95200
Новоалтайск;2087;NA;94200;93000;95400
Новоалтайск;2088;NA;94400;93200;95700
Новоалтайск;2089;NA;94600;93400;95900
Новоалтайск;2090;NA;94800;93600;96100
Новоалтайск;2091;NA;95000;93800;96300
Новоалтайск;2092;NA;95200;94000;96500
Новоалтайск;2093;NA;95400;94200;96700
Новоалтайск;2094;NA;95600;94300;96900
Новоалтайск;2095;NA;95800;94500;97100
Новоалтайск;2096;NA;96000;94700;97200
Новоалтайск;2097;NA;96100;94900;97400
Новоалтайск;2098;NA;96300;95000;97600
Новоалтайск;2099;NA;96500;95200;97800
Новоалтайск;2100;NA;96600;95300;97900
Новоалтайск;2101;NA;96800;95500;98100
Новоалтайск;2102;NA;96900;95600;98200
Новоалтайск;2103;NA;97100;95800;98400
Новоалтайск;2104;NA;97200;95900;98500
Новоалтайск;2105;NA;97300;96000;98700
Новоалтайск;2106;NA;97500;96100;98800
Новоалтайск;2107;NA;97600;96300;99000
Новоалтайск;2108;NA;97700;96400;99100
Новоалтайск;2109;NA;97900;96500;99200
Новоалтайск;2110;NA;98000;96600;99300
Новоалтайск;2111;NA;98100;96700;99500
Новоалтайск;2112;NA;98200;96800;99600
Новоалтайск;2113;NA;98300;96900;99700
Новоалтайск;2114;NA;98400;97000;99800
Новоалтайск;2115;NA;98500;97100;99900
Новоалтайск;2116;NA;98600;97200;1e+05
Новоалтайск;2117;NA;98700;97300;100100
Новоалтайск;2118;NA;98800;97400;100200
Новоалтайск;2119;NA;98900;97500;100300
Новоалтайск;2120;NA;99000;97600;100400
Краснодар;2000;NA;593700;578100;609800
Краснодар;2001;NA;605900;590200;621900
Краснодар;2002;NA;624600;608900;640600
Краснодар;2003;NA;647100;631400;663100
Краснодар;2004;NA;671300;655600;687300
Краснодар;2005;NA;695800;680100;711800
Краснодар;2006;NA;720000;704300;736000
Краснодар;2007;NA;743700;728000;759800
Краснодар;2008;782547;767200;751500;783200
Краснодар;2009;782547;790300;774600;806400
Краснодар;2010;830536;813000;797300;829000
Краснодар;2011;842610;835200;819500;851300
Краснодар;2012;861181;856900;841200;872900
Краснодар;2013;882271;878000;862300;894100
Краснодар;2014;905601;898500;882700;914500
Краснодар;2015;930841;918200;902500;934300
Краснодар;2016;958390;937400;921600;953400
Краснодар;2017;981578;956000;940200;972000
Краснодар;2018;999084;973900;958100;989900
Краснодар;2019;1014996;991100;975300;1007200
Краснодар;2020;1014996;1007800;992000;1023800
Краснодар;2021;NA;1023800;1008000;1039800
Краснодар;2022;NA;1039100;1023300;1055200
Краснодар;2023;NA;1053800;1038000;1069800
Краснодар;2024;NA;1067700;1051900;1083800
Краснодар;2025;NA;1081100;1065300;1097100
Краснодар;2026;NA;1093800;1077900;1109800
Краснодар;2027;NA;1105800;1090000;1121800
Краснодар;2028;NA;1117200;1101400;1133200
Краснодар;2029;NA;1128000;1112200;1144100
Краснодар;2030;NA;1138300;1122500;1154300
Краснодар;2031;NA;1148100;1132200;1164100
Краснодар;2032;NA;1157400;1141500;1173400
Краснодар;2033;NA;1166300;1150400;1182300
Краснодар;2034;NA;1174800;1159000;1190800
Краснодар;2035;NA;1183000;1167100;1199000
Краснодар;2036;NA;1190900;1175000;1206900
Краснодар;2037;NA;1198600;1182700;1214600
Краснодар;2038;NA;1206000;1190200;1222100
Краснодар;2039;NA;1213400;1197500;1229400
Краснодар;2040;NA;1220600;1204700;1236600
Краснодар;2041;NA;1227700;1211900;1243800
Краснодар;2042;NA;1234800;1219000;1250900
Краснодар;2043;NA;1241900;1226000;1257900
Краснодар;2044;NA;1248900;1233100;1265000
Краснодар;2045;NA;1256000;1240200;1272100
Краснодар;2046;NA;1263200;1247300;1279200
Краснодар;2047;NA;1270400;1254500;1286400
Краснодар;2048;NA;1277700;1261800;1293700
Краснодар;2049;NA;1285000;1269200;1301100
Краснодар;2050;NA;1292500;1276700;1308500
Краснодар;2051;NA;1300100;1284200;1316100
Краснодар;2052;NA;1307700;1291900;1323800
Краснодар;2053;NA;1315500;1299700;1331600
Краснодар;2054;NA;1323400;1307600;1339500
Краснодар;2055;NA;1331400;1315600;1347500
Краснодар;2056;NA;1339500;1323700;1355600
Краснодар;2057;NA;1347800;1331900;1363800
Краснодар;2058;NA;1356100;1340200;1372100
Краснодар;2059;NA;1364500;1348600;1380500
Краснодар;2060;NA;1373000;1357100;1389000
Краснодар;2061;NA;1381600;1365800;1397700
Краснодар;2062;NA;1390300;1374400;1406300
Краснодар;2063;NA;1399000;1383200;1415100
Краснодар;2064;NA;1407800;1392000;1423900
Краснодар;2065;NA;1416700;1400800;1432700
Краснодар;2066;NA;1425600;1409700;1441600
Краснодар;2067;NA;1434500;1418700;1450600
Краснодар;2068;NA;1443500;1427600;1459500
Краснодар;2069;NA;1452500;1436600;1468500
Краснодар;2070;NA;1461500;1445600;1477500
Краснодар;2071;NA;1470500;1454600;1486500
Краснодар;2072;NA;1479500;1463600;1495500
Краснодар;2073;NA;1488500;1472600;1504500
Краснодар;2074;NA;1497500;1481600;1513500
Краснодар;2075;NA;1506400;1490500;1522400
Краснодар;2076;NA;1515300;1499400;1531400
Краснодар;2077;NA;1524200;1508300;1540300
Краснодар;2078;NA;1533100;1517200;1549100
Краснодар;2079;NA;1541800;1526000;1557900
Краснодар;2080;NA;1550600;1534700;1566600
Краснодар;2081;NA;1559300;1543400;1575300
Краснодар;2082;NA;1567900;1552000;1583900
Краснодар;2083;NA;1576400;1560600;1592500
Краснодар;2084;NA;1584900;1569000;1601000
Краснодар;2085;NA;1593300;1577400;1609400
Краснодар;2086;NA;1601700;1585800;1617700
Краснодар;2087;NA;1609900;1594000;1625900
Краснодар;2088;NA;1618000;1602200;1634100
Краснодар;2089;NA;1626100;1610200;1642200
Краснодар;2090;NA;1634100;1618200;1650100
Краснодар;2091;NA;1642000;1626100;1658000
Краснодар;2092;NA;1649700;1633900;1665800
Краснодар;2093;NA;1657400;1641600;1673500
Краснодар;2094;NA;1665000;1649100;1681100
Краснодар;2095;NA;1672500;1656600;1688500
Краснодар;2096;NA;1679800;1664000;1695900
Краснодар;2097;NA;1687100;1671200;1703200
Краснодар;2098;NA;1694300;1678400;1710300
Краснодар;2099;NA;1701300;1685400;1717300
Краснодар;2100;NA;1708200;1692300;1724300
Краснодар;2101;NA;1715000;1699100;1731100
Краснодар;2102;NA;1721700;1705800;1737700
Краснодар;2103;NA;1728300;1712400;1744300
Краснодар;2104;NA;1734700;1718800;1750700
Краснодар;2105;NA;1741000;1725100;1757100
Краснодар;2106;NA;1747200;1731300;1763300
Краснодар;2107;NA;1753300;1737400;1769300
Краснодар;2108;NA;1759300;1743400;1775300
Краснодар;2109;NA;1765100;1749200;1781100
Краснодар;2110;NA;1770800;1754900;1786800
Краснодар;2111;NA;1776300;1760400;1792400
Краснодар;2112;NA;1781800;1765900;1797800
Краснодар;2113;NA;1787100;1771200;1803200
Краснодар;2114;NA;1792300;1776400;1808300
Краснодар;2115;NA;1797300;1781400;1813400
Краснодар;2116;NA;1802300;1786400;1818300
Краснодар;2117;NA;1807100;1791200;1823100
Краснодар;2118;NA;1811700;1795800;1827800
Краснодар;2119;NA;1816300;1800400;1832300
Краснодар;2120;NA;1820700;1804800;1836700
Анапа;2000;NA;114400;109600;119400
Анапа;2001;NA;115900;111200;120800
Анапа;2002;NA;118100;113400;123000
Анапа;2003;NA;121000;116300;125900
Анапа;2004;NA;124500;119800;129300
Анапа;2005;NA;128300;123700;133100
Анапа;2006;NA;132200;127700;137000
Анапа;2007;NA;136200;131600;140900
Анапа;2008;141105;140100;135600;144800
Анапа;2009;141105;144100;139600;148700
Анапа;2010;146475;148000;143600;152600
Анапа;2011;150843;152100;147700;156600
Анапа;2012;156927;156300;152000;160800
Анапа;2013;163488;160700;156400;165200
Анапа;2014;171153;165300;161000;169700
Анапа;2015;178704;170100;165900;174500
Анапа;2016;184162;175100;170900;179500
Анапа;2017;186007;180400;176200;184600
Анапа;2018;190054;185700;181600;190000
Анапа;2019;199851;191300;187200;195500
Анапа;2020;199851;196900;192900;201100
Анапа;2021;NA;202700;198500;206900
Анапа;2022;NA;208400;204300;212700
Анапа;2023;NA;214200;210000;218500
Анапа;2024;NA;220000;215800;224300
Анапа;2025;NA;225800;221500;230100
Анапа;2026;NA;231500;227100;235900
Анапа;2027;NA;237100;232700;241600
Анапа;2028;NA;242700;238300;247200
Анапа;2029;NA;248200;243700;252700
Анапа;2030;NA;253600;249100;258100
Анапа;2031;NA;258900;254400;263500
Анапа;2032;NA;264100;259600;268800
Анапа;2033;NA;269300;264700;274000
Анапа;2034;NA;274500;269800;279200
Анапа;2035;NA;279600;274900;284300
Анапа;2036;NA;284600;279900;289400
Анапа;2037;NA;289700;284900;294500
Анапа;2038;NA;294700;289900;299600
Анапа;2039;NA;299700;294800;304600
Анапа;2040;NA;304700;299800;309700
Анапа;2041;NA;309800;304800;314800
Анапа;2042;NA;314800;309900;319900
Анапа;2043;NA;319900;314900;325100
Анапа;2044;NA;325100;320000;330200
Анапа;2045;NA;330300;325200;335500
Анапа;2046;NA;335600;330400;340800
Анапа;2047;NA;340900;335700;346200
Анапа;2048;NA;346300;341000;351600
Анапа;2049;NA;351700;346500;357100
Анапа;2050;NA;357300;351900;362700
Анапа;2051;NA;362900;357500;368300
Анапа;2052;NA;368600;363200;374000
Анапа;2053;NA;374300;368900;379900
Анапа;2054;NA;380200;374700;385800
Анапа;2055;NA;386100;380600;391700
Анапа;2056;NA;392100;386500;397800
Анапа;2057;NA;398200;392600;403900
Анапа;2058;NA;404400;398700;410100
Анапа;2059;NA;410600;404900;416300
Анапа;2060;NA;416800;411100;422700
Анапа;2061;NA;423200;417400;429100
Анапа;2062;NA;429600;423800;435500
Анапа;2063;NA;436100;430200;442000
Анапа;2064;NA;442500;436600;448500
Анапа;2065;NA;449100;443200;455100
Анапа;2066;NA;455700;449700;461700
Анапа;2067;NA;462300;456200;468400
Анапа;2068;NA;468900;462800;475000
Анапа;2069;NA;475500;469400;481700
Анапа;2070;NA;482200;476000;488400
Анапа;2071;NA;488800;482600;495100
Анапа;2072;NA;495400;489200;501800
Анапа;2073;NA;502100;495800;508400
Анапа;2074;NA;508700;502400;515100
Анапа;2075;NA;515300;508900;521700
Анапа;2076;NA;521900;515500;528300
Анапа;2077;NA;528400;522000;534900
Анапа;2078;NA;534900;528400;541500
Анапа;2079;NA;541400;534800;548000
Анапа;2080;NA;547800;541200;554400
Анапа;2081;NA;554100;547500;560800
Анапа;2082;NA;560400;553800;567200
Анапа;2083;NA;566700;560000;573400
Анапа;2084;NA;572800;566100;579600
Анапа;2085;NA;578900;572200;585800
Анапа;2086;NA;585000;578200;591900
Анапа;2087;NA;590900;584100;597900
Анапа;2088;NA;596800;589900;603800
Анапа;2089;NA;602600;595700;609600
Анапа;2090;NA;608300;601300;615400
Анапа;2091;NA;614000;606900;621100
Анапа;2092;NA;619500;612400;626600
Анапа;2093;NA;625000;617800;632100
Анапа;2094;NA;630300;623200;637500
Анапа;2095;NA;635600;628400;642800
Анапа;2096;NA;640700;633500;648000
Анапа;2097;NA;645800;638500;653200
Анапа;2098;NA;650800;643500;658200
Анапа;2099;NA;655700;648300;663100
Анапа;2100;NA;660400;653000;667900
Анапа;2101;NA;665100;657700;672600
Анапа;2102;NA;669700;662200;677200
Анапа;2103;NA;674200;666600;681800
Анапа;2104;NA;678500;671000;686200
Анапа;2105;NA;682800;675200;690500
Анапа;2106;NA;687000;679300;694700
Анапа;2107;NA;691000;683400;698800
Анапа;2108;NA;695000;687300;702800
Анапа;2109;NA;698900;691100;706700
Анапа;2110;NA;702600;694800;710500
Анапа;2111;NA;706300;698500;714200
Анапа;2112;NA;709900;702000;717800
Анапа;2113;NA;713300;705400;721400
Анапа;2114;NA;716700;708700;724800
Анапа;2115;NA;720000;712000;728100
Анапа;2116;NA;723100;715100;731300
Анапа;2117;NA;726200;718100;734400
Анапа;2118;NA;729200;721100;737400
Анапа;2119;NA;732100;723900;740300
Анапа;2120;NA;734900;726600;743200
Бородино;2000;NA;18200;18000;18500
Бородино;2001;NA;18200;17900;18400
Бородино;2002;NA;18000;17800;18300
Бородино;2003;NA;17900;17700;18100
Бородино;2004;NA;17800;17600;18000
Бородино;2005;NA;17700;17400;17900
Бородино;2006;NA;17500;17300;17800
Бородино;2007;NA;17400;17200;17600
Бородино;2008;17146;17300;17100;17500
Бородино;2009;17146;17200;17000;17400
Бородино;2010;17146;17100;16900;17300
Бородино;2011;17146;17000;16700;17200
Бородино;2012;16860;16900;16600;17100
Бородино;2013;16643;16700;16500;17000
Бородино;2014;16430;16600;16400;16800
Бородино;2015;16278;16500;16300;16700
Бородино;2016;16233;16400;16200;16600
Бородино;2017;16188;16300;16100;16500
Бородино;2018;16094;16200;16000;16400
Бородино;2019;16058;16100;15900;16300
Бородино;2020;16058;16000;15800;16200
Бородино;2021;NA;15900;15700;16100
Бородино;2022;NA;15800;15600;16100
Бородино;2023;NA;15800;15500;16000
Бородино;2024;NA;15700;15500;15900
Бородино;2025;NA;15600;15400;15800
Бородино;2026;NA;15500;15300;15800
Бородино;2027;NA;15500;15300;15700
Бородино;2028;NA;15400;15200;15600
Бородино;2029;NA;15400;15100;15600
Бородино;2030;NA;15300;15100;15500
Бородино;2031;NA;15200;15000;15500
Бородино;2032;NA;15200;15000;15400
Бородино;2033;NA;15100;14900;15400
Бородино;2034;NA;15100;14900;15300
Бородино;2035;NA;15000;14800;15300
Бородино;2036;NA;15000;14800;15200
Бородино;2037;NA;15000;14700;15200
Бородино;2038;NA;14900;14700;15100
Бородино;2039;NA;14900;14700;15100
Бородино;2040;NA;14900;14600;15100
Бородино;2041;NA;14800;14600;15000
Бородино;2042;NA;14800;14600;15000
Бородино;2043;NA;14700;14500;15000
Бородино;2044;NA;14700;14500;14900
Бородино;2045;NA;14700;14500;14900
Бородино;2046;NA;14700;14400;14900
Бородино;2047;NA;14600;14400;14800
Бородино;2048;NA;14600;14400;14800
Бородино;2049;NA;14600;14300;14800
Бородино;2050;NA;14500;14300;14800
Бородино;2051;NA;14500;14300;14700
Бородино;2052;NA;14500;14300;14700
Бородино;2053;NA;14500;14200;14700
Бородино;2054;NA;14400;14200;14600
Бородино;2055;NA;14400;14200;14600
Бородино;2056;NA;14400;14200;14600
Бородино;2057;NA;14400;14100;14600
Бородино;2058;NA;14300;14100;14600
Бородино;2059;NA;14300;14100;14500
Бородино;2060;NA;14300;14100;14500
Бородино;2061;NA;14300;14000;14500
Бородино;2062;NA;14200;14000;14500
Бородино;2063;NA;14200;14000;14400
Бородино;2064;NA;14200;14000;14400
Бородино;2065;NA;14200;14000;14400
Бородино;2066;NA;14200;14000;14400
Бородино;2067;NA;14200;13900;14400
Бородино;2068;NA;14100;13900;14400
Бородино;2069;NA;14100;13900;14300
Бородино;2070;NA;14100;13900;14300
Бородино;2071;NA;14100;13900;14300
Бородино;2072;NA;14100;13900;14300
Бородино;2073;NA;14100;13800;14300
Бородино;2074;NA;14100;13800;14300
Бородино;2075;NA;14000;13800;14300
Бородино;2076;NA;14000;13800;14200
Бородино;2077;NA;14000;13800;14200
Бородино;2078;NA;14000;13800;14200
Бородино;2079;NA;14000;13800;14200
Бородино;2080;NA;14000;13800;14200
Бородино;2081;NA;14000;13800;14200
Бородино;2082;NA;14000;13700;14200
Бородино;2083;NA;14000;13700;14200
Бородино;2084;NA;13900;13700;14200
Бородино;2085;NA;13900;13700;14200
Бородино;2086;NA;13900;13700;14200
Бородино;2087;NA;13900;13700;14100
Бородино;2088;NA;13900;13700;14100
Бородино;2089;NA;13900;13700;14100
Бородино;2090;NA;13900;13700;14100
Бородино;2091;NA;13900;13700;14100
Бородино;2092;NA;13900;13700;14100
Бородино;2093;NA;13900;13700;14100
Бородино;2094;NA;13900;13700;14100
Бородино;2095;NA;13900;13700;14100
Бородино;2096;NA;13900;13600;14100
Бородино;2097;NA;13900;13600;14100
Бородино;2098;NA;13900;13600;14100
Бородино;2099;NA;13900;13600;14100
Бородино;2100;NA;13800;13600;14100
Бородино;2101;NA;13800;13600;14100
Бородино;2102;NA;13800;13600;14100
Бородино;2103;NA;13800;13600;14100
Бородино;2104;NA;13800;13600;14000
Бородино;2105;NA;13800;13600;14000
Бородино;2106;NA;13800;13600;14000
Бородино;2107;NA;13800;13600;14000
Бородино;2108;NA;13800;13600;14000
Бородино;2109;NA;13800;13600;14000
Бородино;2110;NA;13800;13600;14000
Бородино;2111;NA;13800;13600;14000
Бородино;2112;NA;13800;13600;14000
Бородино;2113;NA;13800;13600;14000
Бородино;2114;NA;13800;13600;14000
Бородино;2115;NA;13800;13600;14000
Бородино;2116;NA;13800;13600;14000
Бородино;2117;NA;13800;13600;14000
Бородино;2118;NA;13800;13500;14000
Бородино;2119;NA;13800;13500;14000
Бородино;2120;NA;13800;13500;14000
Шарыпово;2000;NA;49800;49500;50200
Шарыпово;2001;NA;49700;49400;50100
Шарыпово;2002;NA;49600;49300;49900
Шарыпово;2003;NA;49500;49100;49800
Шарыпово;2004;NA;49300;49000;49600
Шарыпово;2005;NA;49100;48800;49400
Шарыпово;2006;NA;48900;48600;49300
Шарыпово;2007;NA;48800;48400;49100
Шарыпово;2008;48312;48600;48300;48900
Шарыпово;2009;48312;48400;48100;48700
Шарыпово;2010;48312;48200;47900;48500
Шарыпово;2011;48312;48000;47700;48400
Шарыпово;2012;47717;47800;47500;48200
Шарыпово;2013;47242;47600;47300;48000
Шарыпово;2014;46941;47400;47100;47800
Шарыпово;2015;46929;47200;46900;47500
Шарыпово;2016;46863;47000;46700;47300
Шарыпово;2017;46687;46800;46400;47100
Шарыпово;2018;46371;46500;46200;46800
Шарыпово;2019;46084;46300;46000;46600
Шарыпово;2020;46084;46000;45700;46400
Шарыпово;2021;NA;45800;45500;46100
Шарыпово;2022;NA;45600;45200;45900
Шарыпово;2023;NA;45300;45000;45600
Шарыпово;2024;NA;45100;44800;45400
Шарыпово;2025;NA;44800;44500;45200
Шарыпово;2026;NA;44600;44300;44900
Шарыпово;2027;NA;44400;44000;44700
Шарыпово;2028;NA;44100;43800;44500
Шарыпово;2029;NA;43900;43600;44200
Шарыпово;2030;NA;43700;43400;44000
Шарыпово;2031;NA;43500;43200;43800
Шарыпово;2032;NA;43300;43000;43600
Шарыпово;2033;NA;43100;42800;43400
Шарыпово;2034;NA;42900;42600;43200
Шарыпово;2035;NA;42700;42400;43000
